Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
allowed,7,3.36,#,0.69,5.32,11805
America,7,3.6,#,0.68,#,15817
American,8,3.72,#,0.69,#,19300
Americans,9,3.11,#,0.66,#,21156
apart,5,3.38,3.15,0.68,6.64,5939
apple,5,3.08,5,0.63,4.15,5572
armed,5,3.07,3.6,0.65,8.72,9774
art,3,3.56,4.17,0.68,6.21,3968
as,2,5.05,1.33,0.71,6.1,1452
at,2,5.22,2.07,0.7,4.04,4181
attack,6,3.59,3.71,0.67,6.58,9136
attendant,9,2.2,4.44,0.55,9.79,21861
baking,6,2.25,4.1,0.52,5.5,12348
ball,4,3.73,5,0.66,2.9,5458
band,4,3.44,4.68,0.67,6.16,6022
bang,4,3.01,3.77,0.57,5.74,8179
bank,4,3.64,4.78,0.67,6.44,4546
be,2,5.47,1.85,0.7,5.11,858
believe,7,4.5,1.55,0.67,5.78,8974
belly,5,2.9,4.8,0.56,4.05,5753
best,4,4.31,1.6,0.69,4.09,8912
better,6,4.61,1.91,0.69,5.02,13441
big,3,4.54,3.66,0.69,2.89,1434
birth,5,3.15,4.46,0.66,5.21,3751
bless,5,3.25,2.68,0.5,5.33,10656
blood,5,3.98,4.86,0.66,4.89,4110
blow,4,3.7,3.74,0.61,4,3335
board,5,3.52,4.57,0.68,6.37,4777
bond,4,3.2,3.62,0.65,10.21,7132
bounce,6,2.7,3.86,0.55,6.17,7325
bowl,4,3.04,4.87,0.61,4.26,1535
Britain,7,2.37,#,0.67,#,15317
bubble,6,2.61,4.6,0.57,3.79,5666
bulb,4,2.3,4.93,0.54,6.56,1618
butter,6,3.02,4.9,0.57,5.78,12689
button,6,3.16,4.96,0.59,4.78,8104
cane,4,2.63,4.87,0.57,5.74,7561
car,3,4.39,4.89,0.67,3.37,4768
carbon,6,2.43,4.22,0.62,10.55,10400
card,4,3.64,4.9,0.65,6.2,5396
cash,4,3.57,4.48,0.64,4.84,4550
cat,3,3.53,4.86,0.65,3.68,5984
chair,5,3.4,4.58,0.64,3.43,4390
change,6,4.09,2.89,0.69,4.26,11275
charge,6,3.66,2.96,0.68,7.5,7144
cheese,6,3.3,4.7,0.58,4.33,10656
chewing,7,2.45,#,0.53,#,14857
chicken,7,3.5,4.8,0.59,3.26,10551
Chinese,7,3.36,#,0.67,#,18293
Christmas,9,3.8,3.41,0.65,4.35,14189
clean,5,3.79,3.07,0.64,3.89,9293
climate,7,2.26,3.5,0.64,7.95,14469
clip,4,2.46,4.37,0.57,6.61,3853
coast,5,3.13,4.21,0.66,6.43,7910
coaster,7,2.2,4.68,0.61,7.89,18467
cola,4,2.45,4.79,0.55,4.33,5790
collar,6,2.73,4.64,0.56,6.56,10372
common,6,3.36,2.07,0.69,6.94,9642
count,5,3.66,3,0.65,2.61,9022
course,6,4.4,3.82,0.69,7.34,9002
credit,6,3.37,2.71,0.66,9.42,13877
crystal,7,2.92,4.58,0.64,7.78,10170
cut,3,4.07,4.55,0.68,4.43,1599
David,5,3.72,#,0.68,#,2530
dining,6,2.78,3.75,0.58,6.8,21104
dioxide,7,1.72,2.81,0.58,11.4,8073
doctor,6,4.13,4.69,0.66,4.6,6496
