Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
spawn,5,1.97,3.9,0.51,11.25,2318
speak,5,3.98,3.7,0.64,3.56,4638
speaker,7,2.55,4.69,0.63,6.11,11698
speakers,8,2,4.93,0.62,6.11,13167
speaking,8,3.55,3.83,0.66,3.56,15878
spear,5,2.37,5,0.56,7.22,7272
spearmint,9,0.85,4.7,0.27,7.16,19140
special,7,3.88,1.76,0.69,5,8964
specialist,10,2.42,3,0.63,10.05,18036
specialty,9,2.44,2.43,0.6,9.05,10037
species,7,2.84,3.36,0.61,8.32,10522
specific,8,2.96,2.18,0.67,9.28,8375
speck,5,1.98,4.46,0.33,8.48,4736
speckled,8,1.32,3.59,0.39,9.26,12774
spectacle,9,2.12,3.45,0.5,9.37,12269
spectacles,10,1.63,4.56,0.41,9.37,16758
spectacular,11,2.46,1.82,0.6,8.95,14950
spectrum,8,2.05,2.97,0.62,12.2,7915
speculate,9,1.8,1.68,0.47,11.28,16081
speech,6,3.29,3.37,0.66,6.22,6181
speechless,10,1.95,2.41,0.32,8.68,15728
speeding,8,2.41,3.63,0.49,5.11,20538
speedometer,11,1.11,4.78,0.38,9.35,23304
speedy,6,2,2.93,0.53,6.63,7997
spell,5,3.27,3.32,0.6,5.06,5843
spelling,8,2.41,3.63,0.59,5.86,19405
spend,5,3.68,2.93,0.62,6.44,8070
spending,8,3.1,3.31,0.63,6.44,20761
spent,5,3.55,3,0.66,6.44,9326
sperm,5,2.5,4.82,0.56,11.14,9237
spew,4,1.4,3.2,0.2,8.67,2801
sphere,6,2.1,4.44,0.6,8.26,13834
spherical,9,1,3.83,0.57,12.17,19325
sphinx,6,1.72,4.83,0.4,10.22,9374
spice,5,2.43,4.54,0.55,6.78,5574
spices,6,2.06,4.66,0.57,6.69,10063
spicy,5,2.23,3.31,0.51,5.06,4118
spider,6,2.71,4.97,0.58,3.43,11259
spies,5,2.37,#,0.56,8,7392
spike,5,2.8,4.52,0.6,7.58,2638
spikes,6,1.86,#,0.53,7.58,7127
spiky,5,1.08,4.07,0.31,7.67,1833
spill,5,2.64,4.07,0.49,3.84,4699
spin,4,2.87,3.9,0.61,5,8545
spinach,7,2.12,4.77,0.43,4.94,12953
spinal,6,2.34,3.62,0.57,9.73,13036
spine,5,2.47,4.88,0.56,7.35,10820
spineless,9,1.65,2.25,0.22,11.05,22030
spinning,8,2.57,3.83,0.58,5,21243
spiny,5,0.9,3.11,0.49,10.22,8701
spiral,6,1.96,4.18,0.58,8.89,8633
spirit,6,3.4,1.6,0.66,7.11,7510
spirited,8,1.8,1.67,0.48,9.17,16390
spirits,7,2.92,3.41,0.6,8.56,8516
spiritual,9,2.66,1.79,0.64,8.7,11750
spirituality,12,1.67,1.07,0.57,9.05,17377
spit,4,3,4.71,0.5,5.06,3827
spiteful,8,1.59,2.34,0.29,10.89,10113
splash,6,2.33,4.19,0.51,3.67,6372
splat,5,1.64,3.04,0.21,6.4,7806
splendid,8,2.78,1.79,0.55,7.22,13323
splice,6,1.32,3.19,0.38,13.32,8278
splint,6,1.65,4.69,0.28,9.16,14267
splinter,8,1.88,4.41,0.46,4.72,24824
split,5,3.29,3.96,0.67,6.25,6531
spoil,5,2.77,2.82,0.39,6.3,3686
spoiled,7,2.64,2.46,0.48,6.3,11587
spoils,6,2.03,2.83,0.38,8.89,4101
spoke,5,3.3,3.38,0.64,6.23,3031
spoken,6,3.01,3.28,0.62,3.56,6847
sponge,6,2.54,5,0.47,5,11640
spongy,6,1.11,3.72,0.36,8.89,10564
sponsor,7,2.44,3.28,0.6,10.72,11902
spontaneity,11,1.63,1.7,0.39,12.95,20352
spontaneous,11,2.33,1.73,0.57,9.85,20548
spook,5,2.15,3.14,0.3,6.56,3059
spooky,6,2.38,2.25,0.42,6,3152
spool,5,1.43,4.62,0.37,8,4128
spoon,5,2.59,4.96,0.49,2.5,7436
sport,5,3.01,3.48,0.65,5.74,5661
sports,6,3.15,3.79,0.67,5.74,6667
sporty,6,1.59,2.62,0.4,7.05,6363
spot,4,3.5,4.21,0.65,5.39,2809
spotless,8,1.79,3.34,0.24,7.47,12705
spots,5,2.72,#,0.61,5.39,3815
spotted,7,2.72,3.6,0.6,5.39,12361
spotty,6,1.52,2.96,0.27,6.78,4183
spouse,6,1.99,3.85,0.56,9.94,7078
spout,5,1.72,4.67,0.3,8,4521
sprain,6,1.64,3.79,0.32,9.06,13097
sprawl,6,0.9,3.3,0.47,9.6,5594
spray,5,2.69,4.5,0.56,5.8,5706
spread,6,3.2,3.68,0.66,5.72,9581
spree,5,2.04,2.92,0.45,10.39,7585
spring,6,3.2,3.89,0.68,5.5,15861
springtime,10,1.88,3.09,0.37,5.65,23293
sprinkle,8,1.88,3.82,0.29,5.5,15781
sprinkler,9,1.68,4.89,0.36,5.53,21943
sprint,6,1.57,4.14,0.57,8.61,14960
sprite,6,1.53,3.86,0.43,9.17,11619
sprout,6,1.67,4.64,0.37,9.11,6933
spud,4,1.68,4.76,0.33,9.05,1582
spunk,5,1.84,2.44,0.23,10.85,3367
spunky,6,1.52,1.97,0.26,8.38,3460
spurt,5,1.3,3.27,0.27,10,3582
spy,3,3.01,4.14,0.6,8,914
spying,6,2.45,#,0.48,8,11872
squad,5,3.04,3.65,0.63,9.55,2125
square,6,3.21,4.33,0.64,4.11,8581
squares,7,2.14,#,0.57,4.11,13070
squash,6,2.35,4.7,0.54,6.94,3821
squat,5,2.21,4.32,0.4,8.21,5255
squawk,6,1.94,3.73,0.27,9.26,1313
squeak,6,2.09,4.07,0.28,5.84,3186
squeal,6,2.14,3.42,0.23,7,5919
squeeze,7,2.89,3.75,0.49,5.42,2454
squid,5,2.15,4.71,0.51,7.32,1919
squint,6,1.72,4.3,0.23,8.05,10986
squirm,6,1.63,3.82,0.18,9.18,2465
squirrel,8,2.45,4.89,0.53,4.44,8736
squirt,6,2.15,3.93,0.28,6.53,2885
stab,4,2.65,4.07,0.46,6.4,6448
stability,9,1.96,2.41,0.62,10.89,14123
stable,6,2.83,3.77,0.64,8.9,11044
stack,5,2.49,4.3,0.58,5.63,7848
stadium,7,2.5,4.79,0.63,7,9055
staff,5,3.21,4.36,0.68,10,6077
stag,4,1.91,4.39,0.44,12.35,6226
stage,5,3.37,4.64,0.69,6.32,7437
stagger,7,1.49,3.57,0.26,9.56,13838
stagnant,8,1.18,3.07,0.41,11.86,14398
stain,5,2.5,4.59,0.49,5.24,13256
stair,5,1.85,4.93,0.45,3.84,7170
staircase,9,1.95,4.66,0.56,6.5,12888
stairs,6,3.08,5,0.56,4.22,8639
stairway,8,1.91,4.83,0.49,4.15,8329
stake,5,2.93,4.21,0.58,8.47,6671
stale,5,2.18,3.48,0.32,7.61,11922
Stalin,6,1.9,#,0.58,#,18149
stalk,5,1.94,3.5,0.47,8.22,8612
stalker,7,2.28,3.93,0.46,11.16,15672
stalking,8,2.43,3.07,0.47,8.22,19852
stall,5,2.66,4.37,0.55,7.75,10123
stallion,8,2.22,4.72,0.47,9.42,19985
stamen,6,0.7,3.75,0.34,11.43,11944
stamina,7,1.91,2.81,0.48,10.94,16081
stamp,5,2.48,4.7,0.59,6.33,7265
stamps,6,2.43,#,0.57,6.33,7571
stance,6,1.99,4.04,0.59,10,11955
standard,8,2.97,1.83,0.68,9.2,14814
standards,9,2.57,#,0.66,9.2,15229
standing,8,3.6,4.04,0.67,4.39,23378
staple,6,1.76,4.34,0.56,7.18,10508
stapler,7,1.65,4.62,0.17,5.83,16670
starch,6,1.85,4.29,0.52,10.67,10356
stare,5,2.71,4.1,0.39,7.61,12949
starfish,8,1.59,4.9,0.34,5.76,13395
staring,7,3.08,3.8,0.44,7.61,22095
stark,5,2.52,2.13,0.6,12.01,8677
stars,5,3.37,#,0.66,3.89,9876
start,5,4.24,2.71,0.69,4.37,9410
starter,7,2.15,3.38,0.57,7.35,19967
starting,8,3.55,2.14,0.68,4.37,25001
startle,7,1.79,2.13,0.23,9.17,13246
starvation,10,1.88,2.42,0.53,8.53,25163
starve,6,2.5,3.48,0.36,8.32,10525
starved,7,2.38,2.96,0.39,#,15010
starving,8,2.94,2.89,0.46,6.32,20205
stash,5,2.41,3.73,0.34,10,8189
stately,7,1.38,1.83,0.45,11.68,17296
statement,9,3.17,2.96,0.66,8.89,23604
states,6,3.44,#,0.69,#,18507
static,6,2.41,3.32,0.61,9.28,16692
station,7,3.61,4.32,0.66,7.11,21514
stationary,10,1.7,3.95,0.57,7.22,26540
stationery,10,1.85,4.29,0.43,8.42,30585
statistic,9,1.51,2.88,0.47,11,27793
statistics,10,2.23,3.39,0.62,11.55,27894
statue,6,2.73,4.93,0.61,7.55,10765
stature,7,1.94,2.32,0.55,11.12,16258
status,6,2.88,2.24,0.68,11.63,11830
stay,4,4.42,2.15,0.67,4.22,5865
steadfast,9,1.36,1.92,0.39,13.89,16304
steady,6,3.06,2.25,0.61,6.7,10976
steak,5,2.92,4.96,0.47,6.63,10106
steal,5,3.44,3.84,0.59,6.17,12839
stealing,8,3.1,3.28,0.58,6.17,26401
stealth,7,2.16,2.76,0.54,10.58,14533
stealthy,8,1.2,2.25,0.32,10.68,14782
steam,5,2.84,4.5,0.62,6.26,10720
steamy,6,1.67,3.63,0.26,8.8,10820
steed,5,2.12,4.4,0.37,10.88,13315
steel,5,2.97,4.87,0.65,7.68,10564
steep,5,2.1,3.76,0.58,8,9504
steeple,7,1.34,4.74,0.45,7.21,13697
steer,5,2.49,4.19,0.51,6,14992
stellar,7,1.62,2.45,0.56,11.53,16295
stem,4,2.06,4.63,0.6,7.26,8971
stench,6,2.06,3.85,0.3,9.17,14691
step,4,3.78,4.54,0.66,4.11,8634
stepmother,10,2.34,4.23,0.55,6.33,19762
steps,5,3.1,4.39,0.65,3.67,8940
stereo,6,2.48,4.63,0.57,5.95,18906
stereotype,10,1.57,2,0.47,10.56,22290
sterile,7,2.05,2.67,0.5,11.39,21844
sterling,8,2.06,3.93,0.59,10.7,27967
stern,5,2.52,2.86,0.61,9.47,14595
steroids,8,2.12,4.52,0.51,13.18,17876
stethoscope,11,1.69,4.86,0.25,8.5,18440
Steve,5,3.55,#,0.66,#,10341
stew,4,2.52,4.43,0.46,6.95,8269
steward,7,2.15,4.07,0.55,12.17,12526
stewardess,10,2.21,4.31,0.28,9.35,21187
sticker,7,2.16,4.67,0.45,4.42,18636
sticks,6,2.84,4.83,0.57,3.89,11816
sticky,6,2.47,3.59,0.51,4.06,11669
stiff,5,2.72,3.62,0.56,8.16,9248
stifle,6,1.2,2.59,0.3,10.26,12734
stigma,6,1.45,1.76,0.48,15.56,10900
still,5,4.6,3.46,0.7,5.26,11391
stimulant,9,1.43,4.08,0.42,12.16,19139
stimulate,9,1.85,3.22,0.56,9.95,21214
stimulation,11,1.85,2.44,0.56,8.63,28710
stimuli,7,1.6,2.59,0.56,14.58,13352
stimulus,8,1.43,3.04,0.56,14.58,12668
sting,5,2.56,4.41,0.57,6.21,19156
stinger,7,1.66,4.3,0.39,7.79,26529
stinging,8,1.67,4.04,0.34,6.78,30548
stingray,8,1.2,4.9,0.42,#,23437
stingy,6,1.81,2,0.24,7.78,19291
stink,5,2.83,3.72,0.3,4.3,15523
stinky,6,2.26,3.73,0.27,4.53,15616
stipend,7,1.36,3.46,0.4,17.2,16109
stir,4,2.48,3.76,0.48,5.58,9151
stitch,6,2.58,4.32,0.44,7.39,12275
stocking,8,2.13,4.86,0.41,6.68,17762
stockings,9,2.28,4.62,0.42,5.44,18035
stocks,6,2.32,3.97,0.58,9.22,6762
stocky,6,1,3.43,0.35,10.15,6615
stoic,5,1.34,2.19,0.39,14,7573
stoke,5,1.79,3.58,0.57,11.92,6058
stole,5,3.43,3.07,0.58,6.05,9645
stolen,6,3.24,2.89,0.62,6.17,13461
stomach,7,3.24,4.89,0.57,5.26,10809
stomp,5,2.14,4.41,0.42,5.79,7026
stone,5,3.32,4.72,0.67,4.44,11812
stoned,6,2.41,3.21,0.38,#,16297
stones,6,2.77,#,0.63,4.44,16301
stool,5,2.26,4.9,0.43,6.21,7155
stoop,5,2.1,4.63,0.29,9.76,6608
stopped,7,3.59,3.25,0.66,2.89,12336
stopper,7,1.43,4.83,0.3,7.61,14013
stopping,8,3.03,3.19,0.61,2.89,17823
storage,7,2.66,3.47,0.64,7.56,12790
stories,7,3.35,#,0.67,3.89,16301
stork,5,1.92,4.72,0.39,7.65,7955
storm,5,3.2,4.7,0.64,4.94,8268
stormy,6,1.88,3.96,0.47,6.3,8368
story,5,4.05,3.3,0.68,3.89,8319
stout,5,1.73,3.41,0.54,10.12,7548
stove,5,2.59,4.96,0.47,4.32,7373
stow,4,1.81,3.08,0.37,9.56,5617
straight,8,3.8,2.76,0.65,6.8,10911
straighten,10,2.76,3.72,0.31,7.63,19122
straightforward,15,2.01,1.89,0.57,9.59,18656
strain,6,2.56,3,0.59,8.63,16177
strainer,8,1.18,4.46,0.25,9.63,24614
strand,6,1.98,4.1,0.56,8.39,13608
stranded,8,2.19,2.61,0.56,#,20694
strange,7,3.64,1.86,0.64,6.42,16976
stranger,8,3.14,3.76,0.58,4.53,23138
strangle,8,2.35,4.34,0.36,7.74,19617
strap,5,2.42,4.79,0.48,5.61,9236
strategic,9,2.12,1.93,0.64,11.05,20243
strategy,8,2.68,1.93,0.65,8.5,17508
straw,5,2.5,4.77,0.56,4.22,8589
strawberries,12,2.3,#,0.44,4.21,24835
strawberry,10,2.45,5,0.55,4.21,16853
stray,5,2.44,2.76,0.51,7.58,8786
streak,6,2.47,3.67,0.57,7.79,11941
stream,6,2.61,4.5,0.63,6.47,12555
streets,7,3.21,4.77,0.65,4.58,13025
strength,8,3.28,2.96,0.66,6.21,18881
strengthen,10,1.92,2.5,0.58,9.7,24446
strenuous,9,1.49,2.55,0.42,12.18,17101
stress,6,2.9,2.62,0.63,10,15855
stressed,8,2.45,#,0.58,10,22371
stressful,9,2.11,1.89,0.42,9.62,17356
stretch,7,2.87,3.62,0.61,5.47,12905
stretchy,8,1.3,3.07,0.24,6.26,13154
strict,6,2.56,2.72,0.63,7.56,11558
stride,6,2.03,3.81,0.42,9.21,11574
strife,6,1.94,2.2,0.56,11.78,9201
strike,6,3.37,4.07,0.65,7.75,9115
striking,8,2.35,2.85,0.63,#,19457
string,6,2.81,4.76,0.64,4.94,18941
strings,7,2.62,4.75,0.59,5.74,19214
strip,5,2.9,3.75,0.65,7.65,8653
stripe,6,1.88,4.72,0.55,4.05,10316
striped,7,1.94,4.04,0.53,4.65,14801
stripes,7,2.51,#,0.56,4.05,14805
stripper,8,2.43,4.78,0.42,11.11,16984
strive,6,1.83,2.07,0.53,8.95,10901
stroke,6,2.83,4.1,0.6,9.24,8523
strokes,7,2.1,#,0.55,9.24,13012
stroll,6,2.33,3.97,0.37,7.83,10311
stroller,8,1.66,4.96,0.23,7.84,19889
strong,6,3.65,3.14,0.69,4.58,15921
stronger,8,2.99,#,0.63,4.58,23294
structure,9,2.72,4.03,0.67,9.45,14135
struggle,8,2.83,2.79,0.64,9.8,10325
stub,4,1.7,4.4,0.4,9.47,4681
stubble,7,1.28,4.54,0.24,9.28,9452
stubborn,8,2.74,2.18,0.46,7.17,8847
stud,4,2.55,4,0.53,10.78,4661
student,7,3.34,4.92,0.68,5.94,14096
students,8,3.2,#,0.67,5.94,15102
studies,7,2.68,#,0.66,6.58,12280
studio,6,3.08,4.55,0.66,9.56,9046
studious,8,0.85,2.48,0.29,11.28,12189
study,5,3.4,3.7,0.68,6.58,4811
studying,8,3,#,0.63,6.58,15769
stuff,5,4.2,3.13,0.58,5,4832
stuffed,7,2.65,4,0.51,5,9888
stuffing,8,2.22,4.57,0.38,#,16446
stuffy,6,2.27,2.61,0.25,6.84,4946
stumble,7,2,3.75,0.37,7.94,9960
stump,5,2.1,4.78,0.47,7.58,5812
stun,4,1.99,3.14,0.38,9.56,6160
stunning,8,2.32,2.21,0.55,9.74,18858
stunt,5,2.67,3.24,0.57,8.74,9178
stupendous,10,1.53,1.54,0.24,9.68,15681
stupid,6,3.97,1.75,0.56,4.4,6376
stupidity,9,2.22,2.55,0.38,7.1,11132
sturdy,6,1.94,2.86,0.49,7.5,6436
stutter,7,1.99,3.97,0.3,8.78,16475
sty,3,1.3,4.19,0.19,8.65,4267
style,5,3.19,2.67,0.68,7.58,7777
stylish,7,2.05,2.14,0.49,8.39,11163
stylist,7,1.65,4.08,0.42,8.6,13433
suave,5,1.68,1.48,0.35,11.05,3581
sub,3,2.59,3.46,0.58,6.55,1237
subconscious,12,2.13,1.57,0.45,11.71,17697
subdue,6,1.62,2.24,0.46,11.17,2013
subject,7,3.28,3.14,0.68,7.3,3853
subjective,10,1.76,1.43,0.57,12.26,11404
sublime,7,1.88,2.23,0.5,13.76,7792
subliminal,10,1.57,1.93,0.36,11.89,18809
submarine,9,2.56,4.8,0.6,7.94,17943
submerge,8,1.32,3.39,0.3,8.68,10674
submission,10,1.75,3,0.58,11.33,15768
submissive,10,1.66,1.72,0.37,12.9,11428
submit,6,2.45,2.68,0.58,8.58,4803
subordinate,11,1.51,2.73,0.57,14.72,24158
subscription,12,1.84,3.22,0.56,10.37,18788
subsequent,10,1.81,2.14,0.68,13.05,11386
substance,9,2.56,3.44,0.61,9.68,13416
substitute,10,2.38,2.82,0.59,7.06,18056
subtitle,8,1.72,3.84,0.45,9.84,12074
subtle,6,2.55,1.72,0.59,11.63,5120
subtlety,8,1.61,1.54,0.38,12.53,7176
subtract,8,1.46,3.82,0.37,6.53,8685
subtraction,11,1.04,2.83,0.48,6.28,20576
suburb,6,1.49,3.76,0.59,9.52,3371
suburban,8,2.07,3.27,0.6,11.56,7631
suburbia,8,1.59,3.31,0.33,12.06,5107
subway,6,2.74,4.86,0.57,7.68,2330
succeed,7,2.68,2.33,0.61,8.16,8515
success,7,3.14,2.21,0.68,9.25,9220
successful,10,3.02,2.07,0.69,8.56,10721
succor,6,1.04,#,0.2,14.5,6755
succumb,7,1.3,2.03,0.35,13,3245
such,4,4.17,1.48,0.7,6.42,2821
sucker,6,2.92,3.79,0.37,6.11,9306
suction,7,2.46,3.96,0.47,9.42,14334
sudden,6,3.23,2.07,0.62,6.67,7840
suddenly,8,3.46,1.84,0.64,7.38,9508
suds,4,1.4,4.59,0.21,6.79,1632
sue,3,3.18,3.07,0.6,11,1263
suede,5,1.97,4.24,0.4,10.5,8349
suffer,6,3.06,2.28,0.6,8.89,8121
suffering,9,3,2.39,0.63,7.49,21809
sufficient,10,2.39,1.9,0.64,11,13553
suffocate,9,1.89,3.74,0.27,10.37,13006
suffocation,11,1.59,3.41,0.31,9.84,20502
sugar,5,3.29,4.87,0.63,3.95,4756
sugary,6,1.2,3.89,0.3,7.1,5390
suggest,7,3.3,1.8,0.65,8.67,10681
suggestion,10,2.8,2.23,0.61,9.89,22572
suicide,7,3.24,3.59,0.64,10.16,8021
suit,4,3.54,4.97,0.65,6.67,3473
suitable,8,2.39,1.93,0.64,9.78,10952
suitcase,8,2.84,4.97,0.44,8.22,8998
suite,5,2.93,4.16,0.6,9.37,7868
suits,5,2.95,#,0.59,6.67,4479
sulfur,6,1.79,4.43,0.58,13.6,3759
sullen,6,1.48,2.47,0.29,11.59,10744
sultry,6,1.18,2.11,0.33,12.16,4588
sum,3,2.72,2.89,0.61,7.1,1490
summary,7,1.94,3.03,0.65,8,7151
summer,6,3.6,3.64,0.68,4.33,9775
summit,6,2.23,4.21,0.62,10.11,5421
sun,3,3.55,4.83,0.67,3.4,2716
sunburn,7,1.53,4.57,0.31,7.26,5124
sundae,6,1.91,4.59,0.25,5.11,5072
Sunday,6,3.34,3.32,0.65,5.44,5435
sunflower,9,1.54,4.8,0.44,6,12326
sunglasses,10,2.31,4.83,0.46,5.56,18633
sunlight,8,2.38,4.45,0.57,5,7217
sunny,5,2.59,4.2,0.57,6.17,3238
sunrise,7,2.49,4.69,0.56,5.72,10467
sunset,6,2.72,4.54,0.58,6.06,7957
sunshine,8,2.78,4.21,0.58,4.58,16123
superb,6,2.17,1.62,0.56,10,9352
superego,8,0.7,1.88,0.27,15.41,14427
superficial,11,2.17,1.85,0.53,12.83,17486
superfluous,11,1.38,1.85,0.37,14.35,13497
superior,8,2.82,2.03,0.66,9.84,17226
superiority,11,1.83,1.93,0.56,10.74,22979
superlative,11,0.78,1.44,0.3,12.89,23124
superman,8,2.8,3.41,0.59,#,14836
supermarket,11,2.41,4.57,0.56,4.53,16840
supernatural,12,2.35,2.04,0.58,11.11,23438
superstar,9,2.25,3.36,0.57,10.16,18966
superstition,12,2.03,2.07,0.47,10.35,32969
supervise,9,2,2.48,0.51,11,14864
supervisor,10,2.48,4.26,0.58,9.17,16369
supper,6,3,4.63,0.5,6.32,9596
supple,6,1.51,2.75,0.3,11.71,5964
supplement,10,1.77,3.07,0.59,11.45,15550
supply,6,2.98,3.43,0.66,8.73,4092
support,7,3.41,2.83,0.69,8.53,6603
supporter,9,1.58,3.26,0.6,8.75,17160
supportive,10,2.38,2.2,0.57,9.56,14154
suppose,7,3.81,1.37,0.56,8.21,5722
suppress,8,1.89,2.22,0.56,12.94,13717
supreme,7,2.65,2,0.64,8.47,9903
surely,6,3.15,1.71,0.56,#,10034
surf,4,2.51,4.57,0.57,7.4,2348
surface,7,2.97,4.26,0.65,8.86,5872
surfboard,9,1.68,4.57,0.29,#,7131
surfer,6,1.92,4.73,0.5,7.58,9081
surge,5,1.98,2.78,0.56,9.82,3731
surgeon,7,2.92,4.54,0.58,8.58,8579
surgical,8,2.61,2.89,0.58,10.61,10257
surmount,8,0.78,1.83,0.22,13.6,10310
surname,7,1.69,2.79,0.58,12.22,6800
surpass,7,1.28,2.73,0.44,11,6603
surplus,7,2.02,3.33,0.57,11.33,5308
surprise,8,3.66,3.24,0.64,5.47,11490
surprised,9,3.45,2.5,0.6,6.63,15975
surprising,10,2.49,2.27,0.59,7.63,21971
surreal,7,1.76,1.3,0.54,13.72,12213
surrender,9,2.9,2.63,0.6,7.61,21675
surround,8,2.2,2.81,0.57,8.05,10228
surrounded,10,2.83,3.69,0.63,8.05,17314
surrounding,11,2.29,3.12,0.67,#,22919
surroundings,12,2.03,3.88,0.58,7.28,23192
surveillance,12,2.98,3.11,0.59,11.33,16223
survey,6,2.36,4.08,0.64,11.26,4568
survival,8,2.71,2.34,0.63,8.47,7602
survive,7,3.19,2.55,0.64,7.11,5972
survivor,8,2.35,3.33,0.58,7.95,7081
sushi,5,2.35,4.96,0.41,11.19,4694
suspect,7,3.35,2.59,0.6,8.58,7261
suspend,7,2.15,2.74,0.48,9.11,10398
suspended,9,2.57,2.28,0.63,9.11,17484
suspenders,10,1.64,4.68,0.31,7.39,20630
suspense,8,2.06,1.85,0.49,9.53,12523
suspicion,9,2.57,1.62,0.58,10.21,14370
suspicious,10,2.91,1.87,0.59,7.56,12907
sustain,7,2.14,2.17,0.58,10.39,15584
sustenance,10,1.48,2.26,0.4,13.18,22044
swag,4,1.42,3.14,0.22,12.95,1644
swallow,7,2.81,3.89,0.51,5.17,7696
swamp,5,2.66,4.96,0.58,7.95,2683
swan,4,2.54,4.96,0.59,6.32,4343
swanky,6,1.15,2.4,0.2,11.78,4722
swap,4,2.27,3.85,0.54,7.53,1733
swarm,5,1.84,3.97,0.48,8.68,4408
swatter,7,1.08,4.04,0.18,11.43,16270
sway,4,2.11,3.6,0.5,9.58,1283
swear,5,3.65,2.45,0.49,7.21,5460
sweat,5,3.05,4.71,0.53,7.26,6676
sweater,7,2.85,4.78,0.42,5.22,17233
sweating,8,2.62,4.24,0.45,7.26,22267
sweatshirt,10,2.08,4.93,0.3,5,11875
sweatshop,9,1.46,4.07,0.27,11.33,10922
sweaty,6,2.36,4.18,0.26,5.94,7378
Sweden,6,2.12,#,0.64,#,11582
Swedish,7,2.3,#,0.64,#,11096
sweep,5,2.69,3.72,0.57,4.2,2224
sweeping,8,2.23,3.31,0.57,#,13859
sweet,5,3.87,4,0.63,4.53,2904
sweetheart,10,3.52,2.79,0.53,6.26,11759
sweetie,7,3.44,2.54,0.23,6.55,8934
sweetness,9,2.23,2.83,0.42,6.89,11303
sweets,6,2.09,#,0.49,4.53,3910
swell,5,3.03,3.31,0.46,7.42,4031
swelling,8,2.21,4.13,0.54,#,17593
swerve,6,1.54,4,0.27,8.69,8960
swift,5,2.3,3.04,0.61,7.79,1327
swim,4,3.21,4.43,0.57,4.17,1550
swimmer,7,2.28,4.77,0.54,5.11,9835
swimsuit,8,2.01,4.78,0.36,5.61,5220
swine,5,2.36,4.5,0.52,10.7,9834
swing,5,3.12,4.54,0.61,4.16,11478
swinging,8,2.5,3.5,0.54,4.16,22870
swings,6,2.26,#,0.48,4.16,11751
swipe,5,1.92,4.26,0.29,9.63,2853
swirl,5,1.67,3.93,0.33,6.67,1756
swish,5,1.92,3.04,0.19,9.89,4718
Swiss,5,2.51,#,0.63,#,4994
switch,6,3.16,4.07,0.63,4.78,4597
swollen,7,2.22,3.6,0.45,#,10681
swoon,5,1.51,3,0.23,12.17,6066
swoop,5,1.9,3.19,0.29,6.11,2211
sword,5,3.13,4.93,0.62,5.45,3916
swords,6,2.34,#,0.57,5.45,4331
symbol,6,2.64,3.11,0.63,7.26,2861
symmetry,8,1.62,2.79,0.57,11.39,6168
sympathetic,11,2.29,1.77,0.58,9.39,18021
sympathize,10,1.9,1.54,0.29,9.42,10035
sympathy,8,2.63,1.88,0.57,8.79,8098
symphony,8,2.26,4.21,0.6,8.33,7755
symptom,7,1.99,3.19,0.58,8.68,4193
synagogue,9,1.7,4.54,0.57,11.73,4180
syndrome,8,2.51,2.48,0.58,11.72,7581
synonym,7,1,3.1,0.49,8.32,6025
synopsis,8,1.18,2.76,0.61,12.67,6635
synthetic,9,2.11,3,0.59,10.68,14835
syringe,7,2,4.81,0.36,10.63,15186
systematic,10,1.49,2,0.59,12.11,22362
tab,3,2.47,4.14,0.5,9.33,2883
table,5,3.73,4.9,0.66,4.39,7479
tablecloth,10,1.69,4.85,0.21,6.26,13057
tables,6,2.78,4.89,0.62,4.39,11968
tablet,6,1.89,4.82,0.54,6.83,8833
taboo,5,1.8,1.67,0.52,12.26,4573
tack,4,2.04,4.5,0.38,6.63,4283
tackle,6,2.34,4.28,0.57,9.3,7836
tacky,5,2.13,2.58,0.26,9.26,4376
tact,4,1.76,1.76,0.33,10.42,4480
tactful,7,1.48,2.21,0.21,10.16,5996
tactic,6,1.9,2.1,0.56,11,11549
tactics,7,2.38,2.48,0.62,9.4,11650
tactile,7,1.28,3.04,0.43,15.6,14105
tactless,8,1.18,1.85,0.2,12.28,14376
tadpole,7,1.49,4.86,0.31,6.37,8742
tag,3,2.85,4.25,0.6,5,2661
tail,4,3.09,4.96,0.61,3.7,4228
tailor,6,2.33,4.67,0.49,9.83,8451
tails,5,2.46,#,0.56,3.7,4643
taint,5,1.61,2.19,0.31,9.84,12709
taken,5,3.85,2.66,0.7,4.37,6922
takeover,8,1.91,2.83,0.57,10.16,11952
taker,5,1.67,2.3,0.33,7.9,9268
taking,6,4.09,2.79,0.69,4.37,13448
talc,4,1.11,4.32,0.34,10.25,5022
tale,4,2.79,3.23,0.62,6.32,8357
talent,6,3.13,2.19,0.64,7,15191
talented,8,2.77,2.04,0.6,8.25,24071
talk,4,4.64,4.07,0.66,3.68,5047
talkative,9,1.67,3,0.29,8,16893
talker,6,1.96,4.39,0.3,5.74,12107
talking,7,4.41,3.72,0.64,3.68,16287
tall,4,3.22,3.36,0.62,4.95,6558
taller,6,2.46,4.07,0.56,4.95,16136
tambourine,10,1.66,4.86,0.42,6.53,19089
tame,4,2.15,2.04,0.45,7.58,4563
tampon,6,1.54,4.86,0.22,12.11,9381
tan,3,2.64,4.29,0.58,7.05,5360
