"code","task","A1_B1","A1_B2","A2_B1","A2_B2","trial","type","age","Gender","Ethnicity","education","languages","Language","first.language","Disorders","Device","Distraction","Honesty"
40165,2,10,9,10,9,1,"strict",21,"male","prefer not","prefer not",3,"Chinese","yes","no","computer","prefer not","prefer not"
40165,2,10,10,10,10,3,"lenient",21,"male","prefer not","prefer not",3,"Chinese","yes","no","computer","prefer not","prefer not"
40183,2,8,9,10,10,3,"lenient",18,"female","prefer not","prefer not",3,"Korean and Mandirin","yes","no","computer","not significant","no"
40183,2,4,8,6,9,3,"strict",18,"female","prefer not","prefer not",3,"Korean and Mandirin","yes","no","computer","not significant","no"
40186,1,9,9,9,7,3,"lenient",19,"female","Indian","jc",2,"Tamil","yes","no","computer","not significant","no"
40186,1,9,9,9,7,3,"strict",19,"female","Indian","jc",2,"Tamil","yes","no","computer","not significant","no"
40187,2,10,10,10,10,3,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer","yes","no"
40187,2,10,10,10,10,3,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer","yes","no"
40187,2,10,10,10,10,3,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer","yes","no"
40187,2,10,10,10,10,3,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer","yes","no"
40189,1,6,5,5,3,1,"strict",19,"female","Chinese","jc",3,"Chinese, Malay","yes","no","computer","not significant","no"
40189,1,6,5,5,3,1,"strict",19,"female","Chinese","jc",3,"Chinese, Malay","yes","no","computer","not significant","no"
40189,1,6,5,5,3,1,"lenient",19,"female","Chinese","jc",3,"Chinese, Malay","yes","no","computer","not significant","no"
40189,1,6,5,5,3,1,"lenient",19,"female","Chinese","jc",3,"Chinese, Malay","yes","no","computer","not significant","no"
40202,2,10,10,8,9,3,"lenient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40202,2,10,9,7,6,3,"strict",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40219,1,6,5,5,6,3,"strict",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40219,1,6,5,5,6,3,"strict",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40219,1,6,5,5,6,3,"lenient",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40219,1,6,5,5,6,3,"lenient",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40233,1,6,7,6,4,3,"strict",21,"female","Others","jc",3,"French and a little bit of Spanish","no","no","computer","no","no"
40233,1,6,8,6,4,3,"lenient",21,"female","Others","jc",3,"French and a little bit of Spanish","no","no","computer","no","no"
40247,1,5,5,8,5,3,"lenient",21,"male","Chinese","jc",2,"Chinese","no","no","computer","no","no"
40247,1,5,5,8,5,3,"strict",21,"male","Chinese","jc",2,"Chinese","no","no","computer","no","no"
40251,2,10,10,9,10,3,"lenient",19,"female","Chinese","jc",3,"Chinese, French","yes","no","computer","not significant","no"
40251,2,10,10,9,10,3,"lenient",19,"female","Chinese","jc",3,"Chinese, French","yes","no","computer","not significant","no"
40251,2,9,9,9,9,3,"strict",19,"female","Chinese","jc",3,"Chinese, French","yes","no","computer","not significant","no"
40251,2,9,9,9,9,3,"strict",19,"female","Chinese","jc",3,"Chinese, French","yes","no","computer","not significant","no"
40253,2,8,9,9,10,2,"strict",20,"female","Chinese","jc",2,"mandarin ","yes","no","computer","no","no"
40253,2,8,9,9,10,2,"strict",20,"female","Chinese","jc",2,"mandarin ","yes","no","computer","no","no"
40253,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"mandarin ","yes","no","computer","no","no"
40253,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"mandarin ","yes","no","computer","no","no"
40266,2,10,10,10,10,3,"lenient",23,"male","Chinese","jc",2,"Chinese","yes","no","computer","yes","no"
40266,2,9,10,10,10,3,"strict",23,"male","Chinese","jc",2,"Chinese","yes","no","computer","yes","no"
40269,2,10,10,10,10,3,"strict",20,"female","Chinese","jc",2,"Mandrin","yes","no","computer","no","no"
40269,2,10,10,10,10,3,"strict",20,"female","Chinese","jc",2,"Mandrin","yes","no","computer","no","no"
40269,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"Mandrin","yes","no","computer","no","no"
40269,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"Mandrin","yes","no","computer","no","no"
40272,2,10,10,9,10,3,"lenient",22,"male","Chinese","jc",2,"chinese","no","no","computer","yes","no"
40272,2,10,10,9,10,3,"lenient",22,"male","Chinese","jc",2,"chinese","no","no","computer","yes","no"
40272,2,9,10,8,9,3,"strict",22,"male","Chinese","jc",2,"chinese","no","no","computer","yes","no"
40272,2,9,10,8,9,3,"strict",22,"male","Chinese","jc",2,"chinese","no","no","computer","yes","no"
40274,2,6,3,6,6,3,"strict",20,"female","Chinese","jc",2,"CHINESE","yes","no","computer","yes","no"
40274,2,6,3,6,6,3,"strict",20,"female","Chinese","jc",2,"CHINESE","yes","no","computer","yes","no"
40274,2,7,4,7,7,3,"lenient",20,"female","Chinese","jc",2,"CHINESE","yes","no","computer","yes","no"
40274,2,7,4,7,7,3,"lenient",20,"female","Chinese","jc",2,"CHINESE","yes","no","computer","yes","no"
40287,1,3,2,6,4,3,"lenient",19,"female","Chinese","jc",4,"Chinese, Korean, French","yes","no","computer","not significant","no"
40287,1,3,2,6,4,3,"strict",19,"female","Chinese","jc",4,"Chinese, Korean, French","yes","no","computer","not significant","no"
40288,2,8,8,8,5,3,"strict",20,"female","Chinese","prefer not",2,"chinese","yes","no","computer","yes","no"
40288,2,8,8,8,5,3,"strict",20,"female","Chinese","prefer not",2,"chinese","yes","no","computer","yes","no"
40288,2,10,10,9,7,3,"lenient",20,"female","Chinese","prefer not",2,"chinese","yes","no","computer","yes","no"
40288,2,10,10,9,7,3,"lenient",20,"female","Chinese","prefer not",2,"chinese","yes","no","computer","yes","no"
40292,2,10,10,10,10,3,"lenient",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40292,2,10,10,10,10,3,"lenient",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40292,2,10,9,9,9,3,"strict",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40292,2,10,9,9,9,3,"strict",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40294,2,10,10,10,10,3,"lenient",22,"male","Chinese","jc",2,"Mandarin ","yes","no","computer","yes","no"
40294,2,10,10,10,10,3,"lenient",22,"male","Chinese","jc",2,"Mandarin ","yes","no","computer","yes","no"
40294,2,9,8,10,10,2,"strict",22,"male","Chinese","jc",2,"Mandarin ","yes","no","computer","yes","no"
40294,2,9,8,10,10,2,"strict",22,"male","Chinese","jc",2,"Mandarin ","yes","no","computer","yes","no"
40302,1,6,6,4,8,3,"strict",20,"female","Chinese","jc",3,"Mandarin, Cantonese","yes","no","computer","yes","no"
40302,1,6,6,4,8,3,"lenient",20,"female","Chinese","jc",3,"Mandarin, Cantonese","yes","no","computer","yes","no"
