"code","task","A1_B1","A1_B2","A2_B1","A2_B2","trial","type","age","Gender","Ethnicity","education","languages","Language","first.language","Disorders","Device","Distraction","Honesty"
40669,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",3,"Vietnamese, Chinese","yes","no","computer","no","no"
40669,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",3,"Vietnamese, Chinese","yes","no","computer","no","no"
40672,1,5,2,2,3,3,"strict",19,"female","Chinese","jc",2,"chinese ","yes","no","computer","no","no"
40672,1,5,2,2,3,3,"strict",19,"female","Chinese","jc",2,"chinese ","yes","no","computer","no","no"
40672,1,5,2,2,4,3,"lenient",19,"female","Chinese","jc",2,"chinese ","yes","no","computer","no","no"
40672,1,5,2,2,4,3,"lenient",19,"female","Chinese","jc",2,"chinese ","yes","no","computer","no","no"
40679,2,10,8,10,7,3,"strict",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40679,2,10,8,10,7,3,"strict",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40679,2,10,8,10,9,3,"lenient",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40679,2,10,8,10,9,3,"lenient",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40686,1,6,5,2,5,3,"strict",25,"male","Chinese","poly",2,"Chinese","yes","no","computer","no","no"
40686,1,6,5,2,5,3,"lenient",25,"male","Chinese","poly",2,"Chinese","yes","no","computer","no","no"
40708,2,10,10,10,9,3,"strict",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40708,2,10,10,10,9,3,"strict",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40708,2,10,10,10,10,3,"lenient",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40708,2,10,10,10,10,3,"lenient",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40711,1,3,6,4,5,3,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","not significant","no"
40711,1,3,6,4,5,3,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","not significant","no"
